,pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,st_spectype_short,pl_tsurf_c,pl_hz_status,pl_type,P_HABITABLE,hz_zone_inner,hz_zone_outer,pl_system_class
2833,Kepler-236 b,Kepler-236,8.295611,0.065,1.57,3.09,0.0,15.63,469.0,M1 V,3750.0,0.51,0.6,-0.05,4.75,M,249.37212386671808,Too Hot,Super-Earth,0.0,0.12745469310907553,0.23785939713400636,Terrestrial-SuperEarth-Only
2834,Kepler-236 c,Kepler-236,23.968127,0.132,2.0,4.66,0.0,3.8,329.0,M1 V,3750.0,0.51,0.6,-0.05,4.75,M,93.51917057129305,In HZ,Super-Earth,0.0,0.12745469310907553,0.23785939713400636,Terrestrial-SuperEarth-Only
2835,Kepler-237 b,Kepler-237,4.715106,0.05,1.41,2.57,0.0,124.96,823.0,nan,4861.0,0.73,0.7,0.22,4.58,,650.7969899370734,Too Hot,Super-Earth,0.0,0.30654710730380946,0.5720865066463817,Terrestrial-SuperEarth-Only
2836,Kepler-237 c,Kepler-237,8.103636,0.071,2.08,4.98,0.0,60.64,687.0,nan,4861.0,0.73,0.7,0.22,4.58,,502.20909000953054,Too Hot,Super-Earth,0.0,0.30654710730380946,0.5720865066463817,Terrestrial-SuperEarth-Only
2837,Kepler-238 b,Kepler-238,2.090876,0.034,1.73,3.64,0.0,2500.59,1642.0,nan,5751.0,1.43,1.23,0.34,4.19,,1582.1619155080703,Too Hot,Super-Earth,0.0,0.8405158212743932,1.5685933695578103,Mixed-Members
2838,Kepler-238 c,Kepler-238,6.155557,0.069,2.39,6.3,0.0,592.3,1146.0,nan,5751.0,1.43,1.23,0.34,4.19,,1029.2123926869917,Too Hot,Neptune-Like,0.0,0.8405158212743932,1.5685933695578103,Mixed-Members
2839,Kepler-238 d,Kepler-238,13.233549,0.115,3.07,9.64,0.0,213.48,888.0,nan,5751.0,1.43,1.23,0.34,4.19,,735.6555715207128,Too Hot,Neptune-Like,0.0,0.8405158212743932,1.5685933695578103,Mixed-Members
2840,Kepler-238 e,Kepler-238,23.654,0.17286,5.6,169.7,0.0,98.46,731.0,nan,5800.0,0.96,1.06,0.34,4.49,,406.7755507591377,Too Hot,Neptune-Like,0.0,0.5739186532310907,1.0710625205827564,Mixed-Members
2841,Kepler-238 f,Kepler-238,50.447,0.28635,2.0,13.5,0.0,35.87,568.0,nan,5800.0,0.96,1.06,0.34,4.49,,255.1249557769952,Too Hot,Super-Earth,0.0,0.5739186532310907,1.0710625205827564,Mixed-Members
2842,Kepler-239 b,Kepler-239,11.763051,0.095,2.33,6.04,0.0,34.75,616.0,nan,4914.0,0.76,0.76,0.17,4.58,,418.2432760493948,Too Hot,Neptune-Like,0.0,0.32614221516522834,0.6086554271701959,NeptuneLike-GasGiant-Only
2843,Kepler-239 c,Kepler-239,56.228098,0.268,2.51,6.85,0.0,4.32,366.0,nan,4914.0,0.76,0.76,0.17,4.58,,138.49188403669905,Too Hot,Neptune-Like,0.0,0.32614221516522834,0.6086554271701959,NeptuneLike-GasGiant-Only
2844,Kepler-24 b,Kepler-24,8.14,0.08045,2.348,11.14,0.023,252.25,1050.0,nan,6028.0,1.1,1.06,-0.071,4.33,,835.6457892071172,Too Hot,Super-Earth,0.0,0.7103334927923094,1.325643585482384,Mixed-Members
2845,Kepler-24 c,Kepler-24,12.33,0.10612,2.514,9.99,0.014,144.83,915.0,nan,6028.0,1.1,1.06,-0.071,4.33,,692.2692885698076,Too Hot,Super-Earth,0.0,0.7103334927923094,1.325643585482384,Mixed-Members
2846,Kepler-24 d,Kepler-24,4.244384,0.051,1.67,3.43,0.0,601.89,1305.0,nan,5897.0,1.29,1.05,-0.071,4.2,,1202.1688821728549,Too Hot,Super-Earth,0.0,0.7972143103898484,1.4877829182300197,Mixed-Members
