
st_host_name,pl_lm_class
TOI-2977,N/A
HIP 57274,Ordered
Kepler-1170,N/A
Kepler-1171,N/A
K2-21,Ordered
Kepler-1172,N/A
Kepler-1173,N/A
Kepler-1174,N/A
K2-57,N/A
Kepler-1142,N/A
K2-58,Similar
Kepler-1143,Ordered
K2-59,Similar
Kepler-1144,N/A
Kepler-1145,N/A
Kepler-1146,N/A
Kepler-1147,N/A
Kepler-1148,N/A
Kepler-1149,N/A
K2-50,N/A
LHS 3844,N/A
TOI-1659,N/A
K2-53,N/A
K2-54,N/A
K2-55,N/A
Kepler-1140,N/A
Kepler-1141,N/A
TOI-1670,Ordered
K2-46,N/A
Kepler-1153,N/A
K2-47,N/A
Kepler-1154,Similar
K2-48,N/A
Kepler-1155,N/A
K2-49,N/A
Kepler-1156,N/A
Kepler-1157,N/A
Kepler-1158,N/A
TOI-1669,Ordered
Kepler-1159,N/A
HD 68988,Ordered
K2-42,N/A
K2-43,N/A
K2-44,N/A
Kepler-1151,N/A
K2-45,N/A
Kepler-1152,N/A
K2-414,Ordered
K2-413,Ordered
K2-416,N/A
HD 233604,N/A
K2-415,N/A
K2-417,N/A
GJ 4276,N/A
HD 183263,Ordered
K2-80,Ordered
K2-81,N/A
Kepler-949,Similar
LP 890-9,Ordered
Kepler-946,N/A
Kepler-945,N/A
TOI-1683,N/A
TOI-954,N/A
Kepler-948,N/A
TOI-1680,N/A
Kepler-947,N/A
K2-79,N/A
Kepler-942,N/A
Kepler-941,N/A
Kepler-944,N/A
Kepler-943,N/A
HD 55696,N/A
Kepler-940,N/A
K2-71,N/A
K2-72,Similar
K2-73,N/A
K2-74,N/A
K2-75,Similar
K2-412,N/A
K2-77,N/A
K2-411,N/A
K2-70,N/A
IC 4651 9122,N/A
BD-13 2130,N/A
Kepler-957,N/A
TOI-1693,N/A
Kepler-956,N/A
TOI-1694,Ordered
Kepler-959,N/A
TOI-1691,N/A
Kepler-958,N/A
K2-68,N/A
Kepler-953,Ordered
K2-69,N/A
Kepler-952,N/A
Kepler-955,N/A
Wendelstein-1,N/A
Kepler-954,N/A
TOI-1685,N/A
Wendelstein-2,N/A
HD 125390,N/A
Kepler-950,N/A
K2-60,N/A
K2-61,N/A
K2-62,Similar
K2-63,Similar
HD 99283,N/A
K2-64,N/A
K2-65,N/A
HR 8799,Similar
K2-66,N/A
Kepler-928,N/A
Kepler-927,N/A
Kepler-929,N/A
Kepler-924,N/A
Kepler-923,N/A
Kepler-926,N/A
Kepler-925,N/A
Kepler-920,Ordered
Kepler-922,N/A
TOI-1695,N/A
Kepler-921,N/A
TOI-1696,N/A
CoRoTID 223977153,N/A
K2-95,N/A
K2-97,N/A
K2-98,N/A
K2-99,N/A
HD 176986,Ordered
K2-90,Ordered
K2-91,N/A
Kepler-939,N/A
BD-11 4672,Ordered
Kepler-938,N/A
Kepler-935,N/A
Kepler-934,N/A
Kepler-937,Anti-ordered
Kepler-936,N/A
Kepler-931,N/A
Kepler-930,N/A
Kepler-933,N/A
Kepler-932,N/A
HD 105779,N/A
K2-83,Similar
K2-84,Similar
HD 80653,Ordered
K2-85,N/A
K2-86,N/A
K2-87,N/A
K2-88,N/A
K2-89,N/A
HD 171238,N/A
HD 8326,N/A
Kepler-909,N/A
Kepler-906,N/A
Kepler-905,N/A
Kepler-907,N/A
kap And,N/A
Kepler-902,N/A
Kepler-901,N/A
Kepler-904,N/A
Kepler-903,Similar
GJ 436,N/A
Kepler-900,N/A
omi CrB,N/A
GJ 433,Ordered
HD 213519,N/A
Kepler-917,N/A
Kepler-916,N/A
HD 12484,N/A
Kepler-919,N/A
Kepler-918,N/A
Kepler-913,Anti-ordered
Kepler-912,N/A
Kepler-915,N/A
Kepler-914,N/A
Kepler-911,N/A
Kepler-910,N/A
TOI-2109,N/A
TOI-2107,N/A
GJ 411,Ordered
HD 23127,N/A
TOI-969,Ordered
TOI-2120,N/A
KOI-351,Ordered
GJ 422,N/A
HD 137388,N/A
HD 1690,N/A
HD 209458,N/A
TOI-4791,N/A
TOI-2134,Ordered
TOI-2128,N/A
GJ 1151,N/A
TOI-2141,N/A
TOI-2145,N/A
TOI-2136,N/A
TYC 4282-00605-1,N/A
GJ 1148,Similar
K2-358,N/A
TOI-892,N/A
TOI-2154,N/A
Kepler-887,Ordered
Kepler-886,N/A
Kepler-889,N/A
Kepler-888,N/A
Kepler-883,N/A
Kepler-882,N/A
Kepler-885,N/A
Kepler-884,N/A
Kepler-881,N/A
Kepler-880,Similar
K2-355,N/A
K2-357,N/A
K2-356,N/A
2MASS J03590986+2009361,N/A
TOI-880,N/A
EPIC 248847494,N/A
GJ 1132,Similar
HIP 55507,N/A
HD 128356,N/A
Kepler-898,N/A
Kepler-897,N/A
Kepler-899,N/A
TOI-2158,N/A
Kepler-894,N/A
Kepler-893,N/A
HD 16905,N/A
Kepler-896,Similar
Kepler-895,N/A
Kepler-890,N/A
Kepler-892,N/A
Kepler-891,N/A
Kepler-869,N/A
Kepler-868,N/A
Kepler-865,Ordered
Kepler-864,Ordered
Kepler-867,N/A
Kepler-866,N/A
Kepler-861,N/A
Kepler-860,N/A
Kepler-863,N/A
Kepler-862,N/A
HD 86728,N/A
GJ 3779,N/A
TOI-2180,N/A
HD 81040,N/A
Kepler-879,N/A
Kepler-876,N/A
Kepler-875,N/A
Kepler-878,N/A
TOI-5205,N/A
Kepler-877,N/A
Kepler-872,N/A
Kepler-871,N/A
Kepler-874,N/A
Kepler-873,N/A
Kepler-870,N/A
NGC 2682 Sand 1429,N/A
K2-317,N/A
K2-316,Ordered
K2-319,N/A
K2-318,N/A
TOI-2196,N/A
GJ 9066,N/A
Kepler-847,N/A
Kepler-846,N/A
Kepler-849,N/A
Kepler-848,N/A
Kepler-843,N/A
TOI-5218,N/A
Kepler-842,N/A
HD 154672,N/A
Kepler-845,N/A
Kepler-844,N/A
HD 132406,N/A
Kepler-841,N/A
K2-326,N/A
K2-325,N/A
HD 22781,N/A
HD 96992,N/A
K2-329,N/A
TOI-5232,N/A
Kepler-858,N/A
HD 1666,N/A
Kepler-857,N/A
tau Gem,N/A
Kepler-859,N/A
Kepler-853,N/A
Kepler-856,N/A
Kepler-855,N/A
Kepler-850,N/A
HD 219666,N/A
HIP 67522,Similar
Kepler-852,N/A
Kepler-851,N/A
HD 179949,N/A
K2-320,N/A
K2-322,N/A
K2-321,N/A
K2-324,N/A
K2-323,N/A
