,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
3276,160.748095,60.964119,-23.741,-21.274,2459632.94338,1.540776,1.705,27310.0,13.3674,210.669,1061.0,12.9178,213.771,4234.0,4.49,0.77,1.0
3280,116.813442,-69.030386,-56.531,72.945,2459174.431448,0.668072,0.8556907,463.0485527,8.1648968,6871.8316651,2322.1372099,9.0567,262.782,5159.0,4.308429111592632,3.77481,0.0
3296,213.806242,67.760539,11.652,-13.172,2458904.350933,7.6605425,4.425,5210.0,10.743430929724102,4144.881652659686,1461.4867675239982,13.0949,673.984,5852.984551827742,4.308429111592632,1.5313770561166058,0.0
3302,52.225639,-19.979808,10.261,-9.189,2459167.71222,4.155,2.807,4900.0,11.0678,534.715,1339.0,9.65521,218.294,6270.0,4.14,1.57,0.0
3313,29.263451,0.758825,23.305,-7.093,2460230.85042,2.9037041,5.0153436,4561.0184537,14.6935148,3384.6053598,1945.3455642,10.1638,362.715,6059.0,3.92334,2.14325,1.0
3317,189.828966,59.703485,-14.752,3.149,2459443.719241,7.0080817,3.179,14900.0,13.1807,189.492,1033.0,11.1693,295.431,6307.0,4.48,1.06,0.0
3318,181.571834,12.507026,-186.01,26.251,2459656.499824,4.5445569,1.462,30740.0,5.7177,5.65747,429.0,12.9113,43.1448,3192.0,4.92,0.3,1.0
3324,112.941928,-75.527552,-0.316,-28.206,2458330.37074,13.45913,3.428,2579.32,7.68909,897.182,1524.0,8.2606,104.344,6457.7,4.43,1.38,0.0
3325,171.711327,37.705235,6.551,-2.248,2459634.770884,0.6203033,1.031,1390.0,7.82821,10295.4,2806.0,11.9245,695.137,6294.0,4.03,1.78,0.0
3335,30.114481,-4.985686,26.427,-27.85,2458412.374564,1.470258,1.37737,2586.506638,8.656736,3333.408567,1937.946959,9.89377,167.306,6321.46,4.1984,1.05111,0.0
3346,43.688074,-10.898024,3.281,8.963,2459169.669461,1.9550932,1.78762,19634.9908668,13.1406834,690.3398082,1307.3307576,11.0529,184.848,5400.0,4.53926,0.873418,1.0
3349,215.801496,24.076564,7.744,-0.526,2459687.370442,3.4936188,3.355,9730.0,14.2355,628.664,1394.0,11.8747,465.992,5779.5,4.15,1.42,1.0
3351,193.595291,30.214364,-6.057,-8.215,2458946.965104,6.7136512,3.541,11490.0,12.5036,244.013,1101.0,11.3366,332.565,6179.1,4.39,1.15,0.0
3359,231.127427,46.695076,19.353,-58.486,2458935.789582,23.2556119,7.878,35720.0,14.4434,51.103,744.0,12.5638,222.95,4742.0,4.6,0.73,0.0
3362,340.628454,64.754725,-3.062,-5.603,2458980.246552,2.0474832,3.159,6790.0,14.3474,12096.5,2921.0,13.4802,620.264,6791.0,4.57,1.04,0.0
3363,346.403126,63.453418,-7.046,-12.754,2458979.233689,3.0330919,4.043,1280.0,7.40327,4283.51,2253.0,12.1474,773.332,7471.0,4.01,2.14,0.0
3368,42.250066,-14.537646,174.42,45.414,2458411.66942,2.49221,1.605,1480.0,1.71311,43.3259,714.0,11.2003,37.8932,3450.0,4.78,0.45,0.0
3377,333.663387,68.685313,5.923,0.588,2458979.960331,2.8778095,2.824,4830.0,7.35828,1005.2,1568.0,13.2875,617.366,6131.0,4.46,1.05,0.0
3388,332.633491,61.82941,-32.736,-21.987,2458978.435452,2.1176601,3.591,2000.0,5.16544,12280.2,2932.0,12.5455,359.83,5814.0,4.56,0.89,0.0
3398,315.263903,63.424275,-23.138,-11.834,2459850.65687,1.5891628,1.576,3550.0,12.5934,1679.03,1783.0,13.2445,928.965,6227.0,3.91,2.0,0.0
3401,42.984978,-30.814061,123.229,105.788,2459120.537697,5.9739124,3.1235464,232.5621027,2.3917735,488.0089226,1198.7446729,5.9053,31.964,6308.31,4.438,1.2845,1.0
3402,42.984978,-30.814061,123.229,105.788,2459169.27128,3.58529,2.495,180.0,1.77141,646.628,1404.0,5.9053,31.964,6308.31,4.438,1.28,1.0
3403,42.984978,-30.814061,123.229,105.788,2459117.261055,11.2304605,3.6009978,208.629137,2.0754665,210.3340005,971.2859803,5.9053,31.964,6308.31,4.438,1.2845,1.0
3414,76.833621,-48.115889,-29.75,9.784,2459168.724537,1.5464949,1.101,930.0,3.7295,438.793,1275.0,10.231,167.009,5973.5,3.89,1.14,0.0
3420,227.305873,44.700876,15.141,-26.11,2458973.711868,9.4258906,2.406,4450.0,9.65497,76.541,824.0,11.8993,135.0,4507.0,4.64,0.67,0.0
3421,224.356008,44.274322,-19.913,9.882,2458978.133817,6.6080989,3.928,6740.0,12.1125,298.497,1157.0,11.8136,516.087,5993.0,4.12,1.5,1.0
