,ra,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,label
4031,62.966385,-37.93973,-11.167,12.375,2458416.634939,16.364873,4.0478302,2075.0944118,3.9248322,38.2371999,634.2219521,10.2666,123.739,5481.0,4.56,0.856226,1.0
4032,62.966385,-37.93973,-11.167,12.375,2458410.999327,1.8586624,2.0525797,497.6683497,1.9323657,695.1879631,1309.6200353,10.2666,123.739,5481.0,4.56,0.856226,1.0
4033,62.966385,-37.93973,-11.167,12.375,2458411.806253,9.1910792,3.055677,940.8500219,2.7251006,82.5177911,768.6995876,10.2666,123.739,5481.0,4.56,0.856226,1.0
4034,115.639048,-58.623272,-4.994,7.688,2459039.762461,194.2432864,9.2564583,810.9983952,4.4714848,12.3017271,477.6516387,10.3607,373.289,7923.0,4.35405,1.5184,
4035,49.305279,15.501727,-18.774,-98.362,2460243.483965,20.9040576,5.197,930.0,4.53003,419.568,1260.0,9.81932,121.832,5708.0,4.44413,1.0,
4036,49.305279,15.501727,-18.774,-98.362,2460258.713478,10.9776867,3.596,860.0,5.76837,938.995,1542.0,9.81932,121.832,5708.0,4.44413,1.0,
4037,60.792973,16.347166,31.845,-62.191,2459489.959992,19.5624363,6.591,1400.0,3.32657,95.7696,871.0,11.2723,99.9293,4246.8,4.5,0.76,1.0
4038,18.090518,13.75508,106.605,-76.3,2459488.218864,9.7607632,1.967,790.0,2.22799,30.3621,653.0,9.96064,102.609,5558.0,4.62634,0.8,
4039,42.721741,29.022249,14.865,-27.458,2459883.369678,2.7535993,2.141,14460.0,10.7107,227.759,1082.0,13.1361,361.155,5032.08,4.49678,0.86,1.0
4040,21.186178,21.513064,-4.123,3.589,2459451.62303,15.2664658,2.6673792,16186.172954,12.2663968,42.2986706,650.4312952,11.302,193.499,5420.82,4.52994,0.874078,1.0
4041,47.368947,30.673382,3.856,-44.826,2459885.541633,3.7224626,2.595678,19962.6105832,11.4694856,184.988035,940.6014835,10.9332,124.73,4926.0,4.51771,0.82064,1.0
4042,351.771776,-1.285343,376.019,216.071,2460231.733831,1.2089755,1.286,668.0,1.68645,325.749,1183.0,9.0684,29.661,4199.0,4.65321,0.63,1.0
4043,353.616269,-1.579985,22.318,10.78,2460229.806391,3.408833,3.163,16032.0,14.2632,695.65,1430.0,11.6238,348.494,6134.0,4.41,1.11,1.0
4044,31.106453,3.99893,19.882,-0.574,2459448.624749,5.8903558,2.5374738,8410.6143369,,245.1888178,1009.241068,13.4911,,5780.0,4.438,,
4045,67.222847,-21.482057,-0.026,-22.048,2459174.695544,4.7633952,3.0078272,13160.629831,10.2196833,183.2394519,938.3708227,11.9012,246.384,5258.0,4.51,0.87551,1.0
