,hostname,st_spectype,st_teff,st_rad,st_lum,sy_dist,sy_bmag,sy_vmag,b-v_index,abs_mag
4127,HD 1690,K1 III,4393.0,16.7,1.52,752.615,10.492,9.19,1.3020000000000014,-0.1928643489008266
4164,HD 170469,G5 IV,5810.0,1.22,0.204,60.178,8.833,8.21,0.6229999999999993,4.312811250094789
4188,HD 171238,G8 V,5440.0,1.01,-0.09,44.8113,9.41,8.61,0.8000000000000007,5.3530622839343405
4199,HD 17156,G5,5969.0,1.47,0.39,78.0863,8.78,8.17,0.6099999999999994,3.7071257753197457
4208,HD 173416,G8,4683.0,13.5,1.892,132.184,7.094,6.04188,1.0521200000000004,0.43598555073605727
4213,HD 174205,K2,4308.0,26.6,2.378,234.027,7.512,6.28209,1.2299099999999994,-0.5642398271055482
4234,HD 175541,G8 IV,5060.0,3.8,0.934,129.603,8.835,8.020001,0.8149990000000003,2.4569257273438616
4254,HD 176986,K2.5 V,4931.0,0.78,-0.48,27.7843,9.316,8.42,0.8960000000000008,6.20100270196308
4265,HD 177565,G8V,5648.0,0.99,-0.027,16.9179,6.856,6.15,0.7059999999999995,5.008267732198206
4303,HD 179079,G5 IV,5684.0,1.6,0.382,69.7116,8.597,7.95,0.6469999999999994,3.7334747467537905
4328,HD 179949,F8V,6168.0,1.22,0.322,27.4573,6.772,6.25,0.5220000000000002,4.056710855662474
4349,HD 180617,M2.5V,3496.0,0.5,-1.523,5.91059,10.576,9.12,1.4560000000000013,10.26184582659612
4385,HD 181342,K0 III,5040.0,5.12,1.176,120.391,8.566,7.55,1.016000000000001,2.1470298908241867
4394,HD 181433,K2IV/V,4900.0,0.83,-0.444,26.8762,9.42,8.4,1.0199999999999996,6.253160678778235
4413,HD 181720,G1 V,5781.0,1.39,0.288,60.2046,8.391,7.84,0.5510000000000002,3.941851623586752
4436,HD 184010,K0 III-IV,4971.0,4.86,1.117,60.7993,6.809,5.88639,0.9226100000000006,1.966897104284958
4439,HD 18438,M2.5 III,3860.0,88.47,2.968,224.146,7.144,5.50474,1.6392600000000002,-1.2479149653191595
4458,HD 18599,K2 V,5145.0,0.77,-0.429,38.5653,9.872,8.99,0.8819999999999997,6.059016429527801
4515,HD 189567,G3V,5713.0,1.04,0.025,17.9055,6.707,6.074,0.633,4.80906773539134
4540,HD 189733,G5,4939.0,0.8,-0.469,19.7638,8.607,7.67,0.9369999999999994,6.190647748041789
4551,HD 190007,K3/4V,4604.0,0.73,-0.638,12.7141,8.542,7.46,1.0819999999999999,6.9385718852146905
4583,HD 190360,G6IV+...,5552.0,1.15,0.079,16.0069,6.472,5.738,0.734,4.716463841107226
4629,HD 190984,F8 V,5988.0,1.53,0.43,148.187,9.315,8.76,0.5549999999999997,2.905949470174251
4640,HD 191939,G9 V,5348.0,0.94,-0.187,53.6089,9.72,8.97,0.75,5.323815519817439
4648,HD 192263,K1/2V,4975.0,0.77,-0.495,19.6359,8.725,7.79,0.9349999999999996,6.324745941518097
4681,HD 192310,K3V,5080.0,0.81,-0.377,8.79687,6.629,5.73,0.8989999999999991,6.008359129892489
4693,HD 192699,G8 IV,5220.0,3.9,1.009,71.8627,7.314,6.45591,0.8580899999999998,2.173392348329217
4745,HD 196067,G1 V,6017.0,1.73,0.572,39.9346,7.058,6.51,0.548,3.5032533063344324
4747,HD 19615,K0,4263.0,32.3,2.515,265.155,8.028,6.55594,1.4720600000000008,-0.5615591048862534
4783,HD 19994,G0V,6188.0,1.75,0.626,22.5242,5.632,5.06345,0.5685500000000001,3.3002031253306114
4823,HD 202696,K0 III-IV,5040.0,6.43,1.369,188.546,8.927,8.23,0.6969999999999992,1.8529133835512752
4874,HD 204941,K1/2V,5126.0,0.71,-0.495,28.7165,9.253,8.45,0.8030000000000008,6.159342467572509
4907,HD 207496,K3/4V,4958.0,0.88,-0.367,23.606,9.167,8.23,0.9369999999999994,6.364887986059214
4941,HD 207832,G5 V,5726.0,0.89,-0.11,58.9291,9.474,8.78,0.6940000000000008,4.928350958279426
4950,HD 207897,K0,5132.0,0.76,-0.444,28.2938,9.264,8.37,0.8940000000000001,6.111543603435585
4954,HD 20794,G8.0V,5401.0,0.92,-0.161,6.00278,4.966,4.26,0.7060000000000004,5.368237865543502
4997,HD 20868,K3/4 IV,4795.0,0.79,-0.529,47.7223,10.935,9.92,1.0150000000000006,6.52639316729292
5006,HD 208897,K0,4860.0,4.98,1.09,67.4872,7.523,6.50821,1.0147899999999996,2.362102950400998
5025,HD 209458,G0 V,6071.0,1.2,0.248,48.3016,8.168,7.65,0.5179999999999989,4.230192414600406
5052,HD 210277,G8/K0V,5555.0,1.06,0.029,21.2985,7.296,6.54348,0.7525200000000005,4.901734908783311
5069,HD 210702,K1 IV,4912.0,4.54,1.035,54.1963,6.895,5.93022,0.9647799999999993,2.260371809414454
5084,HD 211810,G5,5652.0,1.13,0.07,64.6353,9.309,8.59,0.7189999999999994,4.537651155526587
5092,HD 211970,M0V,4106.0,0.59,-1.046,13.1277,10.402,10.24,0.16199999999999903,9.64905678265464
5137,HD 213885,G,5978.0,1.1,0.139,48.0883,8.495,7.95,0.544999999999999,4.539802878372818
5149,HD 21411,G8V,5452.0,0.85,-0.244,29.1328,8.642,7.88,0.7619999999999996,5.558088863145491
5157,HD 214823,G0,5933.0,2.04,0.67,101.368,8.629,8.06,0.5689999999999991,3.0304956104557075
5170,HD 215152,K3V,4823.0,0.79,-0.523,21.5974,9.094,8.11,0.984,6.43799264091605
5197,HD 216437,G2/3IV,5849.0,1.48,0.387,26.6902,6.71,6.04,0.6699999999999999,3.908240859318185
5220,HD 216520,K2,5144.0,0.79,-0.398,19.552,8.408,7.53,0.8779999999999992,6.074044057187699
5222,HD 216536,K0,4639.0,12.5,1.8,376.233,10.418,9.229,1.189,1.3517155722461762
5268,HD 217107,G8IV/V,5704.0,1.08,0.093,20.0619,6.895,6.155,0.7399999999999993,4.6431396934573055
5276,HD 217786,F8 V,5966.0,1.27,0.276,55.4847,8.285,7.78,0.5049999999999999,4.05913378903827
5289,HD 218566,K3V,4927.0,0.79,-0.469,28.8274,9.61,8.6,1.0099999999999998,6.300972628602189
5299,HD 219077,G8 V,5362.0,1.91,0.425,29.1864,6.901,6.12,0.7809999999999997,3.794097349067033
5319,HD 219134,K3 V,4699.0,0.78,-0.577,6.53127,6.585,5.56911,1.0158899999999997,6.494121811569551
5329,HD 219139,G5 III,4831.0,11.22,1.795,104.935,6.852,5.84863,1.0033700000000003,0.7440281657228205
5333,HD 219415,K0 III,4820.0,2.9,0.62,165.184,9.903,8.909,0.9939999999999998,2.8191601073612205
5342,HD 219828,G0 IV,5891.0,1.69,0.489,73.114,8.66,8.04,0.620000000000001,3.719997277960828
5361,HD 220689,G3 V,5921.0,1.07,0.093,46.8778,8.356,7.74,0.6159999999999997,4.385163890909691
5397,HD 221420,G2 IV-V,5847.0,1.95,0.603,31.1415,6.489,5.82,0.6689999999999996,3.3533023624949956
5418,HD 222076,K0 III,4806.0,4.1,0.929,91.1538,8.523,7.47,1.053,2.6711261092835494
5451,HD 224538,F9 IV/V,6097.0,1.54,0.47,79.0608,8.649,8.06,0.5889999999999986,3.570193977170674
5459,HD 224693,G2 V,5894.0,1.93,0.61,93.5015,8.851,8.23,0.6210000000000004,3.375907109461078
5469,HD 22496,K5/M0V,4172.0,0.68,-0.886,13.5956,10.062,8.57,1.491999999999999,7.903008107010144
5471,HD 22532,G8 III/IV,5038.0,5.69,1.274,161.183,8.728,7.85,0.8780000000000001,1.813403826163393
5509,HD 231701,F8 V,6101.0,1.53,0.47,108.877,9.487001,8.97,0.5170009999999987,3.785319271012744
5519,HD 233604,K5,4791.0,10.9,1.75,847.058,11.332,10.291,1.0410000000000004,0.6514342575698802
5536,HD 23472,K4 V,4684.0,0.71,-0.625,39.0341,10.694,9.73,0.9640000000000004,6.7727791480444015
5541,HD 235088,K2 V,5037.0,0.79,-0.443,41.1706,10.129,9.19,0.9390000000000001,6.11706401881505
5558,HD 238090,M0.0 V,3933.0,0.57,-1.154,15.2354,11.103,9.71,1.392999999999999,8.795730695223508
5574,HD 240237,K2 III,4361.0,32.0,2.49,933.377,9.933,8.19,1.7430000000000003,-1.6602854746240183
5616,HD 25171,F8 V,6160.0,1.18,0.276,55.6146,8.28,7.77,0.5099999999999998,4.044055910158094
5620,HD 25723,K1 III,4766.0,13.76,1.944,114.816,6.69,5.60075,1.0892500000000007,0.3007379365401972
5623,HD 260655,M1:,3843.0,0.43,-1.398,10.0055,11.041,9.63,1.4109999999999996,9.628806018489593
5697,HD 27442,K1/2III,4846.0,3.43,0.838,18.2704,5.518,4.44,1.0779999999999994,3.1312597219425347
