pl_name,pl_type
Kepler-1809 b,Super+Earth
Kepler-1818 b,Super+Earth
Kepler-1848 b,Super+Earth
Kepler-1865 b,Super+Earth
Kepler-1866 b,Super+Earth
Kepler-1899 b,Super+Earth
Kepler-1900 b,Super+Earth
Kepler-1933 b,Super+Earth
Kepler-1960 b,Super+Earth
Kepler-1966 b,Super+Earth
Kepler-534 c,Super+Earth
Kepler-1795 b,Super+Earth
Kepler-1833 b,Super+Earth
Kepler-1853 b,Super+Earth
Kepler-1856 b,Super+Earth
Kepler-1884 b,Super+Earth
Kepler-1888 b,Super+Earth
Kepler-1913 b,Super+Earth
Kepler-1923 b,Super+Earth
Kepler-1964 b,Super+Earth
Kepler-495 c,Super+Earth
Kepler-1761 b,Super+Earth
Kepler-1823 b,Super+Earth
Kepler-1860 b,Super+Earth
Kepler-1885 b,Super+Earth
Kepler-1904 b,Super+Earth
"Debug: VIP-CLI v3.7.1, Node v18.20.1, linux 5.15.153.1-microsoft-standard-WSL2 x64",Super+Earth
Kepler-1954 b,Super+Earth
Kepler-1956 b,Super+Earth
Kepler-501 c,Super+Earth
Kepler-1067 c,Super+Earth
Kepler-1749 b,Super+Earth
Kepler-1827 b,Super+Earth
Kepler-1857 b,Super+Earth
Kepler-1892 b,Super+Earth
Kepler-1947 b,Super+Earth
Kepler-1038 c,Super+Earth
Kepler-1266 c,Super+Earth
Kepler-1312 c,Super+Earth
Kepler-1488 c,Super+Earth
Kepler-1735 b,Super+Earth
Kepler-1882 b,Super+Earth
Kepler-1902 b,Super+Earth
Kepler-1928 b,Super+Earth
Kepler-1948 b,Super+Earth
Kepler-1950 b,Super+Earth
Kepler-1958 b,Super+Earth
Kepler-589 c,Super+Earth
Kepler-1713 b,Super+Earth
Kepler-1741 b,Super+Earth
Kepler-1763 b,Super+Earth
Kepler-1832 b,Super+Earth
Kepler-1839 b,Super+Earth
Kepler-1905 b,Super+Earth
Kepler-1939 b,Super+Earth
Kepler-1945 b,Super+Earth
Kepler-1952 b,Super+Earth
Kepler-1961 b,Super+Earth
Kepler-1968 b,Super+Earth
Kepler-1783 b,Super+Earth
Kepler-1802 b,Super+Earth
Kepler-1816 b,Super+Earth
Kepler-1825 b,Super+Earth
Kepler-1834 b,Super+Earth
Kepler-1909 b,Super+Earth
Kepler-1912 b,Super+Earth
Kepler-1930 b,Super+Earth
Kepler-1943 b,Super+Earth
Kepler-1955 b,Super+Earth
Kepler-1959 b,Super+Earth
Kepler-1962 b,Super+Earth
Kepler-1965 b,Super+Earth
Kepler-1894 b,Super+Earth
Kepler-1917 b,Super+Earth
Kepler-1969 b,Super+Earth
HD 137496 b,Super+Earth
HD 207897 b,Super+Earth
HIP 97166 b,Super+Earth
HD 39194 b,Super+Earth
HD 39194 d,Super+Earth
HD 93385 b,Super+Earth
HD 96700 c,Super+Earth
LHS 1678 c,Super+Earth
CD Ceti b,Super+Earth
EPIC 206024342 c,Super+Earth
EPIC 206042996 c,Super+Earth
EPIC 201427007 b,Super+Earth
EPIC 201595106 b,Super+Earth
EPIC 212624936 b,Super+Earth
EPIC 228836835 b,Super+Earth
TOI-2285 b,Super+Earth
K2-336 b,Super+Earth
K2-338 b,Super+Earth
K2-349 b,Super+Earth
K2-268 d,Super+Earth
K2-268 e,Super+Earth
K2-331 b,Super+Earth
K2-339 b,Super+Earth
K2-342 b,Super+Earth
K2-343 b,Super+Earth
K2-343 c,Super+Earth
K2-344 b,Super+Earth
K2-350 b,Super+Earth
K2-352 b,Super+Earth
K2-352 c,Super+Earth
K2-354 b,Super+Earth
L 98-59 e,Super+Earth
TOI-2406 b,Super+Earth
TOI-431 b,Super+Earth
TOI-431 c,Super+Earth
TOI-1062 b,Super+Earth
TOI-1749 b,Super+Earth
TOI-2076 b,Super+Earth
TOI-1807 b,Super+Earth
G 264-012 b,Super+Earth
G 264-012 c,Super+Earth
GJ 393 b,Super+Earth
TOI-1260 b,Super+Earth
TOI-1260 c,Super+Earth
TOI-1634 b,Super+Earth
TOI-1685 b,Super+Earth
KOI-1831 d,Super+Earth
KOI-1833 d,Super+Earth
KOI-3503 b,Super+Earth
KOI-3503 c,Super+Earth
TOI-1444 b,Super+Earth
LHS 1478 b,Super+Earth
GJ 740 b,Super+Earth
GJ 486 b,Super+Earth
GJ 251 b,Super+Earth
HD 110113 c,Super+Earth
TOI-178 b,Super+Earth
TOI-178 c,Super+Earth
TOI-178 f,Super+Earth
HD 108236 b,Super+Earth
HD 108236 c,Super+Earth
HD 108236 f,Super+Earth
TOI-451 b,Super+Earth
TOI-776 c,Super+Earth
TOI-776 b,Super+Earth
TOI-561 b,Super+Earth
TOI-561 d,Super+Earth
TOI-561 e,Super+Earth
TOI-237 b,Super+Earth
EPIC 201170410.02,Super+Earth
Kepler-595 c,Super+Earth
GJ 3473 b,Super+Earth
HD 63433 b,Super+Earth
HD 63433 c,Super+Earth
TOI-763 b,Super+Earth
TOI-824 b,Super+Earth
Kepler-1514 c,Super+Earth
Kepler-1695 b,Super+Earth
Kepler-1697 b,Super+Earth
Kepler-1698 b,Super+Earth
Kepler-1699 b,Super+Earth
Kepler-1702 b,Super+Earth
Kepler-1001 c,Super+Earth
Kepler-1671 b,Super+Earth
Kepler-1679 b,Super+Earth
Kepler-1680 b,Super+Earth
Kepler-1683 b,Super+Earth
Kepler-1686 b,Super+Earth
Kepler-1687 b,Super+Earth
Kepler-1688 b,Super+Earth
Kepler-1691 b,Super+Earth
Kepler-1692 b,Super+Earth
Kepler-1693 b,Super+Earth
Kepler-1694 b,Super+Earth
Kepler-305 e,Super+Earth
Kepler-716 c,Super+Earth
K2-316 b,Super+Earth
K2-316 c,Super+Earth
K2-318 b,Super+Earth
K2-321 b,Super+Earth
K2-322 b,Super+Earth
HD 86226 c,Super+Earth
TOI-700 d,Super+Earth
GJ 887 b,Super+Earth
OGLE-2018-BLG-0677L b,Super+Earth
LTT 3780 b,Super+Earth
LTT 3780 c,Super+Earth
TOI-1235 b,Super+Earth
HD 164922 d,Super+Earth
Kepler-1649 c,Super+Earth
HD 158259 b,Super+Earth
LHS 1815 b,Super+Earth
GJ 1061 b,Super+Earth
GJ 1061 c,Super+Earth
GJ 1061 d,Super+Earth
EPIC 249893012 b,Super+Earth
GJ 1252 b,Super+Earth
L 168-9 b,Super+Earth
DMPP-3 A b,Super+Earth
TOI-270 b,Super+Earth
DMPP-1 d,Super+Earth
DMPP-1 e,Super+Earth
HD 80653 b,Super+Earth
G 9-40 b,Super+Earth
HD 213885 b,Super+Earth
PSR B0329+54 b,Super+Earth
LP 791-18 b,Super+Earth
GJ 15 A b,Super+Earth
GJ 682 b,Super+Earth
K2-198 c,Super+Earth
LTT 1445 A b,Super+Earth
K2-146 c,Super+Earth
GJ 357 b,Super+Earth
GJ 357 c,Super+Earth
HR 858 c,Super+Earth
HR 858 b,Super+Earth
Teegarden's Star b,Super+Earth
Teegarden's Star c,Super+Earth
K2-32 e,Super+Earth
L 98-59 c,Super+Earth
L 98-59 d,Super+Earth
EPIC 212297394 b,Super+Earth
EPIC 212499991 b,Super+Earth
EPIC 212587672 b,Super+Earth
EPIC 220554210 c,Super+Earth
EPIC 201238110 b,Super+Earth
EPIC 201615463 c,Super+Earth
EPIC 201754305 d,Super+Earth
EPIC 201841433 b,Super+Earth
EPIC 205950854 c,Super+Earth
EPIC 206024342 b,Super+Earth
EPIC 206032309 b,Super+Earth
EPIC 206042996 b,Super+Earth
K2-133 e,Super+Earth
HD 15337 b,Super+Earth
HD 15337 c,Super+Earth
HD 21749 c,Super+Earth
HD 23472 b,Super+Earth
HD 23472 c,Super+Earth
LHS 1140 c,Super+Earth
LHS 3844 b,Super+Earth
EPIC 220674823 b,Super+Earth
HD 106315 b,Super+Earth
HD 136352 b,Super+Earth
HD 20781 b,Super+Earth
HD 3167 d,Super+Earth
GJ 411 b,Super+Earth
K2-288 B b,Super+Earth
Wolf 503 b,Super+Earth
GJ 1132 c,Super+Earth
HD 215152 b,Super+Earth
HD 215152 c,Super+Earth
HD 215152 d,Super+Earth
HD 215152 e,Super+Earth
HD 3167 b,Super+Earth
Ross 128 b,Super+Earth
GJ 273 b,Super+Earth
GJ 273 c,Super+Earth
GJ 3138 b,Super+Earth
GJ 3138 c,Super+Earth
GJ 3293 e,Super+Earth
GJ 3323 b,Super+Earth
GJ 3323 c,Super+Earth
LHS 1140 b,Super+Earth
HD 20794 e,Super+Earth
GJ 625 b,Super+Earth
GJ 9827 b,Super+Earth
GJ 9827 c,Super+Earth
Tau Ceti e,Super+Earth
Tau Ceti f,Super+Earth
Tau Ceti g,Super+Earth
Tau Ceti h,Super+Earth
YZ Ceti c,Super+Earth
YZ Ceti d,Super+Earth
EPIC 211822797 b,Super+Earth
GJ 3998 b,Super+Earth
Proxima Centauri b,Super+Earth
PSR B1257+12 c,Super+Earth
PSR B1257+12 d,Super+Earth
OGLE-2013-BLG-0341L B b,Super+Earth
GJ 1132 b,Super+Earth
HD 219134 b,Super+Earth
HD 219134 c,Super+Earth
HD 219134 d,Super+Earth
Wolf 1061 b,Super+Earth
Wolf 1061 c,Super+Earth
HD 219134 f,Super+Earth
55 Cancri e,Super+Earth
HD 156668 b,Super+Earth
HIP 116454 b,Super+Earth
HD 97658 b,Super+Earth
HD 20794 b,Super+Earth
HD 20794 c,Super+Earth
HD 20794 d,Super+Earth
HD 40307 b,Super+Earth
GJ 581 e,Super+Earth
GJ 667 C c,Super+Earth
GJ 667 C e,Super+Earth
GJ 667 C f,Super+Earth
GJ 667 C g,Super+Earth
GJ 676 A d,Super+Earth
K2-294 b,Super+Earth
KOI-1599.01,Super+Earth
KOI-1599.02,Super+Earth
K2-290 b,Super+Earth
K2-291 b,Super+Earth
Kepler-730 c,Super+Earth
K2-285 b,Super+Earth
K2-279 b,Super+Earth
K2-265 b,Super+Earth
K2-268 b,Super+Earth
K2-269 b,Super+Earth
K2-270 b,Super+Earth
K2-274 b,Super+Earth
K2-263 b,Super+Earth
K2-158 c,Super+Earth
K2-243 c,Super+Earth
K2-244 b,Super+Earth
K2-252 b,Super+Earth
K2-254 b,Super+Earth
K2-240 b,Super+Earth
K2-240 c,Super+Earth
K2-239 b,Super+Earth
K2-239 d,Super+Earth
OGLE-2017-BLG-1434L b,Super+Earth
K2-233 b,Super+Earth
K2-233 c,Super+Earth
K2-233 d,Super+Earth
OGLE-2017-BLG-0173L b,Super+Earth
K2-219 c,Super+Earth
K2-221 b,Super+Earth
K2-222 b,Super+Earth
K2-162 b,Super+Earth
K2-165 b,Super+Earth
K2-165 c,Super+Earth
K2-168 b,Super+Earth
K2-156 b,Super+Earth
K2-205 b,Super+Earth
K2-208 b,Super+Earth
K2-211 b,Super+Earth
K2-213 b,Super+Earth
K2-216 b,Super+Earth
K2-219 b,Super+Earth
K2-199 b,Super+Earth
K2-200 b,Super+Earth
K2-201 b,Super+Earth
K2-203 b,Super+Earth
K2-187 b,Super+Earth
K2-187 c,Super+Earth
K2-187 e,Super+Earth
K2-188 b,Super+Earth
K2-189 b,Super+Earth
K2-190 b,Super+Earth
K2-190 c,Super+Earth
K2-191 b,Super+Earth
K2-192 b,Super+Earth
K2-183 b,Super+Earth
K2-184 b,Super+Earth
K2-185 b,Super+Earth
K2-170 c,Super+Earth
K2-172 b,Super+Earth
K2-173 b,Super+Earth
K2-175 b,Super+Earth
K2-176 b,Super+Earth
K2-180 b,Super+Earth
K2-169 b,Super+Earth
K2-170 b,Super+Earth
K2-229 b,Super+Earth
K2-229 c,Super+Earth
K2-230 b,Super+Earth
K2-223 c,Super+Earth
K2-224 b,Super+Earth
K2-226 b,Super+Earth
K2-227 b,Super+Earth
K2-228 b,Super+Earth
K2-146 b,Super+Earth
K2-147 b,Super+Earth
K2-154 b,Super+Earth
K2-154 c,Super+Earth
K2-155 b,Super+Earth
K2-155 d,Super+Earth
K2-148 b,Super+Earth
K2-148 c,Super+Earth
K2-148 d,Super+Earth
K2-149 b,Super+Earth
K2-150 b,Super+Earth
K2-151 b,Super+Earth
K2-153 b,Super+Earth
K2-141 b,Super+Earth
K2-138 b,Super+Earth
K2-138 d,Super+Earth
Kepler-80 g,Super+Earth
Kepler-90 i,Super+Earth
Kepler-90b,Super+Earth
Kepler-90c,Super+Earth
MOA-2013-BLG-605L b,Super+Earth
MOA-2007-BLG-192L b,Super+Earth
K2-136 b,Super+Earth
K2-136 c,Super+Earth
K2-136 d,Super+Earth
Kepler-1652 b,Super+Earth
K2-133 b,Super+Earth
K2-133 c,Super+Earth
K2-133 d,Super+Earth
K2-131 b,Super+Earth
K2-117 b,Super+Earth
K2-117 c,Super+Earth
K2-122 b,Super+Earth
K2-126 b,Super+Earth
K2-128 b,Super+Earth
K2-129 b,Super+Earth
K2-130 b,Super+Earth
K2-3 b,Super+Earth
